date	subject	eventType	object
1960-07-29	Mercury_No.4	SUPPORTS	Mercury-Atlas_1
1960-07-29	Mercury-Atlas_1	DEPARTS	Earth
1960-07-29	Mercury-Atlas_1	ARRIVES	Sub_Orbital
1960-07-29	Mercury-Atlas_1	ENDS	
1960-08-19	Vostok_1K_KS2	SUPPORTS	Korabl-Sputnik_2
1960-08-19	Belka_and_Strelka	JOINS	Korabl-Sputnik_2
1960-08-19	Korabl-Sputnik_2	DEPARTS	Earth
1960-08-19	Korabl-Sputnik_2	ARRIVES	LEO
1960-08-20	Korabl-Sputnik_2	DEPARTS	LEO
1960-08-20	Korabl-Sputnik_2	ARRIVES	Earth
1960-12-01	Vostok_1K_KS3	SUPPORTS	Korabl-Sputnik_3
1960-12-01	Pchyolka_and_Mushka	JOINS	Korabl-Sputnik_3
1960-12-01	Korabl-Sputnik_3	DEPARTS	Earth
1960-12-01	Korabl-Sputnik_3	ARRIVES	LEO
1960-12-02	Korabl-Sputnik_3	DEPARTS	LEO
1960-12-02	Korabl-Sputnik_3	ARRIVES	Sub_Orbital
1960-12-02	Korabl-Sputnik_3	ENDS	
1960-12-19	Mercury_No.2	SUPPORTS	Mercury-Redstone_1A
1960-12-19	Mercury-Redstone_1A	DEPARTS	Earth
1960-12-19	Mercury-Redstone_1A	ARRIVES	Sub_Orbital
1960-12-19	Mercury-Redstone_1A	DEPARTS	Sub_Orbital
1960-12-19	Mercury-Redstone_1A	ARRIVES	Earth
1960-12-22	Vostok_1K_UN	SUPPORTS	Unamed_Vostok_Flight1
1960-12-22	Damka_and_Krasavka	JOINS	Unamed_Vostok_Flight1
1960-12-22	Unamed_Vostok_Flight1	DEPARTS	Earth
1960-12-22	Unamed_Vostok_Flight1	ARRIVES	Sub_Orbital
1960-12-22	Unamed_Vostok_Flight1	DEPARTS	Sub_Orbital
1960-12-22	Unamed_Vostok_Flight1	ARRIVES	Earth
1961-01-31	Mercury_No.5	SUPPORTS	Mercury-Redstone_2
1961-01-31	Ham_(chimpanzee)	JOINS	Mercury-Redstone_2
1961-01-31	Mercury-Redstone_2	DEPARTS	Earth
1961-01-31	Mercury-Redstone_2	ARRIVES	Sub_Orbital
1961-01-31	Mercury-Redstone_2	DEPARTS	Sub_Orbital
1961-01-31	Mercury-Redstone_2	ARRIVES	Earth
1961-02-21	Mercury_No.6	SUPPORTS	Mercury-Atlas_2
1961-02-21	Mercury-Atlas_2	DEPARTS	Earth
1961-02-21	Mercury-Atlas_2	ARRIVES	Sub_Orbital
1961-02-21	Mercury-Atlas_2	DEPARTS	Sub_Orbital
1961-02-21	Mercury-Atlas_2	ARRIVES	Earth
1961-03-09	Vostok-3KA-1	SUPPORTS	Korabl-Sputnik_4
1961-03-09	Chernushka	JOINS	Korabl-Sputnik_4
1961-03-09	Korabl-Sputnik_4	DEPARTS	Earth
1961-03-09	Korabl-Sputnik_4	ARRIVES	LEO
1961-03-09	Korabl-Sputnik_4	DEPARTS	LEO
1961-03-09	Korabl-Sputnik_4	ARRIVES	Earth
1961-03-25	Vostok-3KA-2	SUPPORTS	Korabl-Sputnik_5
1961-03-25	Zvyozdochka	JOINS	Korabl-Sputnik_5
1961-03-25	Korabl-Sputnik_5	DEPARTS	Earth
1961-03-25	Korabl-Sputnik_5	ARRIVES	LEO
1961-03-25	Korabl-Sputnik_5	DEPARTS	LEO
1961-03-25	Korabl-Sputnik_5	ARRIVES	Earth
1961-04-12	Vostok-3KA-3	SUPPORTS	Vostok_1
1961-04-12	Yuri_Gagarin	JOINS	Vostok_1
1961-04-12	Vostok_1	DEPARTS	Earth
1961-04-12	Vostok_1	ARRIVES	LEO
1961-04-12	Vostok_1	DEPARTS	LEO
1961-04-12	Vostok_1	ARRIVES	Earth
1961-04-25	Mercury_No.8	SUPPORTS	Mercury-Atlas_3
1961-04-25	Mercury-Atlas_3	DEPARTS	Earth
1961-04-25	Mercury-Atlas_3	ARRIVES	LEO
1961-04-25	Mercury-Atlas_3	DEPARTS	LEO
1961-04-25	Mercury-Atlas_3	ARRIVES	Earth
1961-05-05	Freedom_7	SUPPORTS	Mercury-Redstone_3
1961-05-05	Alan_Shepard	JOINS	Mercury-Redstone_3
1961-05-05	Mercury-Redstone_3	DEPARTS	Earth
1961-05-05	Mercury-Redstone_3	ARRIVES	Sub_Orbital
1961-05-05	Mercury-Redstone_3	DEPARTS	Sub_Orbital
1961-05-05	Mercury-Redstone_3	ARRIVES	Earth
1961-07-21	Liberty_Bell_7	SUPPORTS	Mercury-Redstone_4
1961-07-21	Virgil_Grissom	JOINS	Mercury-Redstone_4
1961-07-21	Mercury-Redstone_4	DEPARTS	Earth
1961-07-21	Mercury-Redstone_4	ARRIVES	Sub_Orbital
1961-07-21	Mercury-Redstone_4	DEPARTS	Sub_Orbital
1961-07-21	Mercury-Redstone_4	ARRIVES	Earth
1961-08-06	Vostok_2_Spacecraft	SUPPORTS	Vostok_2
1961-08-06	Gherman_Titov	JOINS	Vostok_2
1961-08-06	Vostok_2	DEPARTS	Earth
1961-08-06	Vostok_2	ARRIVES	LEO
1961-08-07	Vostok_2	DEPARTS	LEO
1961-08-07	Vostok_2	ARRIVES	Earth
1961-09-13	Mercury_No.8	SUPPORTS	Mercury-Atlas_4
1961-09-13	Mercury-Atlas_4	DEPARTS	Earth
1961-09-13	Mercury-Atlas_4	ARRIVES	LEO
1961-09-13	Mercury-Atlas_4	DEPARTS	LEO
1961-09-13	Mercury-Atlas_4	ARRIVES	Earth
1961-11-29	Mercury_No.9	SUPPORTS	Mercury-Atlas_5
1961-11-29	Mercury-Atlas_5	DEPARTS	Earth
1961-11-29	Mercury-Atlas_5	ARRIVES	LEO
1961-11-29	Mercury-Atlas_5	DEPARTS	LEO
1961-11-29	Mercury-Atlas_5	ARRIVES	Earth
1962-02-20	Friendship_7	SUPPORTS	Mercury-Atlas_6
