date	subject	eventType	object
1960-07-29T00:00:00.000	Mercury_No.4	SUPPORTS	Mercury-Atlas_1
1960-07-29T00:00:00.000	Mercury-Atlas_1	DEPARTS	Earth
1960-07-29T00:00:00.000	Mercury-Atlas_1	ARRIVES	Sub_Orbital
1960-07-29T00:00:00.000	Mercury-Atlas_1	ENDS	
1960-08-19T00:00:00.000	Vostok_1K_KS2	SUPPORTS	Korabl-Sputnik_2
1960-08-19T00:00:00.000	Belka_and_Strelka	JOINS	Korabl-Sputnik_2
1960-08-19T00:00:00.000	Korabl-Sputnik_2	DEPARTS	Earth
1960-08-19T00:00:00.000	Korabl-Sputnik_2	ARRIVES	LEO
1960-08-20T00:00:00.000	Korabl-Sputnik_2	DEPARTS	LEO
1960-08-20T00:00:00.000	Korabl-Sputnik_2	ARRIVES	Earth
1960-12-01T00:00:00.000	Vostok_1K_KS3	SUPPORTS	Korabl-Sputnik_3
1960-12-01T00:00:00.000	Pchyolka_and_Mushka	JOINS	Korabl-Sputnik_3
1960-12-01T00:00:00.000	Korabl-Sputnik_3	DEPARTS	Earth
1960-12-01T00:00:00.000	Korabl-Sputnik_3	ARRIVES	LEO
1960-12-02T00:00:00.000	Korabl-Sputnik_3	DEPARTS	LEO
1960-12-02T00:00:00.000	Korabl-Sputnik_3	ARRIVES	Sub_Orbital
1960-12-02T00:00:00.000	Korabl-Sputnik_3	ENDS	
1960-12-19T00:00:00.000	Mercury_No.2	SUPPORTS	Mercury-Redstone_1A
1960-12-19T00:00:00.000	Mercury-Redstone_1A	DEPARTS	Earth
1960-12-19T00:00:00.000	Mercury-Redstone_1A	ARRIVES	Sub_Orbital
1960-12-19T00:00:00.000	Mercury-Redstone_1A	DEPARTS	Sub_Orbital
1960-12-19T00:00:00.000	Mercury-Redstone_1A	ARRIVES	Earth
1960-12-22T00:00:00.000	Vostok_1K_UN	SUPPORTS	Unamed_Vostok_Flight1
1960-12-22T00:00:00.000	Damka_and_Krasavka	JOINS	Unamed_Vostok_Flight1
1960-12-22T00:00:00.000	Unamed_Vostok_Flight1	DEPARTS	Earth
1960-12-22T00:00:00.000	Unamed_Vostok_Flight1	ARRIVES	Sub_Orbital
1960-12-22T00:00:00.000	Unamed_Vostok_Flight1	DEPARTS	Sub_Orbital
1960-12-22T00:00:00.000	Unamed_Vostok_Flight1	ARRIVES	Earth
1961-01-31T00:00:00.000	Mercury_No.5	SUPPORTS	Mercury-Redstone_2
1961-01-31T00:00:00.000	Ham_(chimpanzee)	JOINS	Mercury-Redstone_2
1961-01-31T00:00:00.000	Mercury-Redstone_2	DEPARTS	Earth
1961-01-31T00:00:00.000	Mercury-Redstone_2	ARRIVES	Sub_Orbital
1961-01-31T00:00:00.000	Mercury-Redstone_2	DEPARTS	Sub_Orbital
1961-01-31T00:00:00.000	Mercury-Redstone_2	ARRIVES	Earth
1961-02-21T00:00:00.000	Mercury_No.6	SUPPORTS	Mercury-Atlas_2
1961-02-21T00:00:00.000	Mercury-Atlas_2	DEPARTS	Earth
1961-02-21T00:00:00.000	Mercury-Atlas_2	ARRIVES	Sub_Orbital
1961-02-21T00:00:00.000	Mercury-Atlas_2	DEPARTS	Sub_Orbital
1961-02-21T00:00:00.000	Mercury-Atlas_2	ARRIVES	Earth
1961-03-09T00:00:00.000	Vostok-3KA-1	SUPPORTS	Korabl-Sputnik_4
1961-03-09T00:00:00.000	Chernushka	JOINS	Korabl-Sputnik_4
1961-03-09T00:00:00.000	Korabl-Sputnik_4	DEPARTS	Earth
1961-03-09T00:00:00.000	Korabl-Sputnik_4	ARRIVES	LEO
1961-03-09T00:00:00.000	Korabl-Sputnik_4	DEPARTS	LEO
1961-03-09T00:00:00.000	Korabl-Sputnik_4	ARRIVES	Earth
1961-03-25T00:00:00.000	Vostok-3KA-2	SUPPORTS	Korabl-Sputnik_5
1961-03-25T00:00:00.000	Zvyozdochka	JOINS	Korabl-Sputnik_5
1961-03-25T00:00:00.000	Korabl-Sputnik_5	DEPARTS	Earth
1961-03-25T00:00:00.000	Korabl-Sputnik_5	ARRIVES	LEO
1961-03-25T00:00:00.000	Korabl-Sputnik_5	DEPARTS	LEO
1961-03-25T00:00:00.000	Korabl-Sputnik_5	ARRIVES	Earth
1961-04-12T00:00:00.000	Vostok-3KA-3	SUPPORTS	Vostok_1
1961-04-12T00:00:00.000	Yuri_Gagarin	JOINS	Vostok_1
1961-04-12T00:00:00.000	Vostok_1	DEPARTS	Earth
1961-04-12T00:00:00.000	Vostok_1	ARRIVES	LEO
1961-04-12T00:00:00.000	Vostok_1	DEPARTS	LEO
1961-04-12T00:00:00.000	Vostok_1	ARRIVES	Earth
1961-04-25T00:00:00.000	Mercury_No.8	SUPPORTS	Mercury-Atlas_3
1961-04-25T00:00:00.000	Mercury-Atlas_3	DEPARTS	Earth
1961-04-25T00:00:00.000	Mercury-Atlas_3	ARRIVES	LEO
1961-04-25T00:00:00.000	Mercury-Atlas_3	DEPARTS	LEO
1961-04-25T00:00:00.000	Mercury-Atlas_3	ARRIVES	Earth
1961-05-05T00:00:00.000	Freedom_7	SUPPORTS	Mercury-Redstone_3
1961-05-05T00:00:00.000	Alan_Shepard	JOINS	Mercury-Redstone_3
1961-05-05T00:00:00.000	Mercury-Redstone_3	DEPARTS	Earth
1961-05-05T00:00:00.000	Mercury-Redstone_3	ARRIVES	Sub_Orbital
1961-05-05T00:00:00.000	Mercury-Redstone_3	DEPARTS	Sub_Orbital
1961-05-05T00:00:00.000	Mercury-Redstone_3	ARRIVES	Earth
1961-07-21T00:00:00.000	Liberty_Bell_7	SUPPORTS	Mercury-Redstone_4
1961-07-21T00:00:00.000	Virgil_Grissom	JOINS	Mercury-Redstone_4
1961-07-21T00:00:00.000	Mercury-Redstone_4	DEPARTS	Earth
1961-07-21T00:00:00.000	Mercury-Redstone_4	ARRIVES	Sub_Orbital
1961-07-21T00:00:00.000	Mercury-Redstone_4	DEPARTS	Sub_Orbital
1961-07-21T00:00:00.000	Mercury-Redstone_4	ARRIVES	Earth
1961-08-06T00:00:00.000	Vostok_2_Spacecraft	SUPPORTS	Vostok_2
1961-08-06T00:00:00.000	Gherman_Titov	JOINS	Vostok_2
1961-08-06T00:00:00.000	Vostok_2	DEPARTS	Earth
1961-08-06T00:00:00.000	Vostok_2	ARRIVES	LEO
1961-08-07T00:00:00.000	Vostok_2	DEPARTS	LEO
1961-08-07T00:00:00.000	Vostok_2	ARRIVES	Earth
1961-09-13T00:00:00.000	Mercury_No.8	SUPPORTS	Mercury-Atlas_4
1961-09-13T00:00:00.000	Mercury-Atlas_4	DEPARTS	Earth
1961-09-13T00:00:00.000	Mercury-Atlas_4	ARRIVES	LEO
1961-09-13T00:00:00.000	Mercury-Atlas_4	DEPARTS	LEO
1961-09-13T00:00:00.000	Mercury-Atlas_4	ARRIVES	Earth
1961-11-29T00:00:00.000	Mercury_No.9	SUPPORTS	Mercury-Atlas_5
1961-11-29T00:00:00.000	Mercury-Atlas_5	DEPARTS	Earth
1961-11-29T00:00:00.000	Mercury-Atlas_5	ARRIVES	LEO
1961-11-29T00:00:00.000	Mercury-Atlas_5	DEPARTS	LEO
1961-11-29T00:00:00.000	Mercury-Atlas_5	ARRIVES	Earth
1962-02-20T00:00:00.000	Friendship_7	SUPPORTS	Mercury-Atlas_6
1962-02-20T00:00:00.000	John_Glenn	JOINS	Mercury-Atlas_6
1962-02-20T00:00:00.000	Mercury-Atlas_6	DEPARTS	Earth
1962-02-20T00:00:00.000	Mercury-Atlas_6	ARRIVES	LEO
1962-02-20T00:00:00.000	Mercury-Atlas_6	DEPARTS	LEO
1962-02-20T00:00:00.000	Mercury-Atlas_6	ARRIVES	Earth
1962-05-24T00:00:00.000	Aurora_7	SUPPORTS	Mercury-Atlas_7
1962-05-24T00:00:00.000	Scott_Carpenter	JOINS	Mercury-Atlas_7
1962-05-24T00:00:00.000	Mercury-Atlas_7	DEPARTS	Earth
1962-05-24T00:00:00.000	Mercury-Atlas_7	ARRIVES	LEO
1962-05-24T00:00:00.000	Mercury-Atlas_7	DEPARTS	LEO
